make,fuel_type,num_of_doors,body_style,drive_wheels,engine_location,wheel_base,length,width,height,curb_weight,engine_type,num_of_cylinders,engine_size,fuel_system,compression_ratio,horsepower,city_mpg,highway_mpg,price
nissan,gas,four,sedan,fwd,front,97.19999695,173.3999939,65.19999695,54.70000076,2302,ohc,four,120,2bbl,8.5,97,27,34,9549
nissan,gas,four,sedan,fwd,front,100.4000015,181.6999969,66.5,55.09999847,3095,ohcv,six,181,mpfi,9,152,17,22,13499
nissan,gas,four,wagon,fwd,front,100.4000015,184.6000061,66.5,56.09999847,3296,ohcv,six,181,mpfi,9,152,17,22,14399
nissan,gas,four,sedan,fwd,front,100.4000015,184.6000061,66.5,55.09999847,3060,ohcv,six,181,mpfi,9,152,19,25,13499
nissan,gas,two,hatchback,rwd,front,91.30000305,170.6999969,67.90000153,49.70000076,3071,ohcv,six,181,mpfi,9,160,19,25,17199
nissan,gas,two,hatchback,rwd,front,91.30000305,170.6999969,67.90000153,49.70000076,3139,ohcv,six,181,mpfi,7.800000191,200,17,23,19699
nissan,gas,two,hatchback,rwd,front,99.19999695,178.5,67.90000153,49.70000076,3139,ohcv,six,181,mpfi,9,160,19,25,18399
peugot,gas,four,sedan,rwd,front,107.9000015,186.6999969,68.40000153,56.70000076,3020,l,four,120,mpfi,8.399999619,97,19,24,11900
peugot,diesel,four,sedan,rwd,front,107.9000015,186.6999969,68.40000153,56.70000076,3197,l,four,152,idi,21,95,28,33,13200
peugot,gas,four,wagon,rwd,front,114.1999969,198.8999939,68.40000153,58.70000076,3230,l,four,120,mpfi,8.399999619,97,19,24,12440
peugot,diesel,four,wagon,rwd,front,114.1999969,198.8999939,68.40000153,58.70000076,3430,l,four,152,idi,21,95,25,25,13860
peugot,gas,four,sedan,rwd,front,107.9000015,186.6999969,68.40000153,56.70000076,3075,l,four,120,mpfi,8.399999619,95,19,24,15580
peugot,diesel,four,sedan,rwd,front,107.9000015,186.6999969,68.40000153,56.70000076,3252,l,four,152,idi,21,95,28,33,16900
peugot,gas,four,wagon,rwd,front,114.1999969,198.8999939,68.40000153,56.70000076,3285,l,four,120,mpfi,8.399999619,95,19,24,16695
peugot,diesel,four,wagon,rwd,front,114.1999969,198.8999939,68.40000153,58.70000076,3485,l,four,152,idi,21,95,25,25,17075
peugot,gas,four,sedan,rwd,front,107.9000015,186.6999969,68.40000153,56.70000076,3075,l,four,120,mpfi,8.399999619,97,19,24,16630
peugot,diesel,four,sedan,rwd,front,107.9000015,186.6999969,68.40000153,56.70000076,3252,l,four,152,idi,21,95,28,33,17950
peugot,gas,four,sedan,rwd,front,108,186.6999969,68.30000305,56,3130,l,four,134,mpfi,7,142,18,24,18150
plymouth,gas,two,hatchback,fwd,front,93.69999695,157.3000031,63.79999924,50.79999924,1918,ohc,four,90,2bbl,9.399999619,68,37,41,5572
plymouth,gas,two,hatchback,fwd,front,93.69999695,157.3000031,63.79999924,50.79999924,2128,ohc,four,98,spdi,7.599999905,102,24,30,7957
plymouth,gas,four,hatchback,fwd,front,93.69999695,157.3000031,63.79999924,50.59999847,1967,ohc,four,90,2bbl,9.399999619,68,31,38,6229
plymouth,gas,four,sedan,fwd,front,93.69999695,167.3000031,63.79999924,50.79999924,1989,ohc,four,90,2bbl,9.399999619,68,31,38,6692
plymouth,gas,four,sedan,fwd,front,93.69999695,167.3000031,63.79999924,50.79999924,2191,ohc,four,98,2bbl,9.399999619,68,31,38,7609
plymouth,gas,four,wagon,fwd,front,103.3000031,174.6000061,64.59999847,59.79999924,2535,ohc,four,122,2bbl,8.5,88,24,30,8921
plymouth,gas,two,hatchback,rwd,front,95.90000153,173.1999969,66.30000305,50.20000076,2818,ohc,four,156,spdi,7,145,19,24,12764
porsche,gas,two,hatchback,rwd,front,94.5,168.8999939,68.30000305,50.20000076,2778,ohc,four,151,mpfi,9.5,143,19,27,22018
porsche,gas,two,hardtop,rwd,rear,89.5,168.8999939,65,51.59999847,2756,ohcf,six,194,mpfi,9.5,207,17,25,32528
porsche,gas,two,hardtop,rwd,rear,89.5,168.8999939,65,51.59999847,2756,ohcf,six,194,mpfi,9.5,207,17,25,34028
porsche,gas,two,convertible,rwd,rear,89.5,168.8999939,65,51.59999847,2800,ohcf,six,194,mpfi,9.5,207,17,25,37028
porsche,gas,two,hatchback,rwd,front,98.40000153,175.6999969,72.30000305,50.5,3366,dohcv,eight,203,mpfi,10,288,17,28,0
saab,gas,two,hatchback,fwd,front,99.09999847,186.6000061,66.5,56.09999847,2658,ohc,four,121,mpfi,9.31000042,110,21,28,11850
saab,gas,four,sedan,fwd,front,99.09999847,186.6000061,66.5,56.09999847,2695,ohc,four,121,mpfi,9.300000191,110,21,28,12170
saab,gas,two,hatchback,fwd,front,99.09999847,186.6000061,66.5,56.09999847,2707,ohc,four,121,mpfi,9.300000191,110,21,28,15040
saab,gas,four,sedan,fwd,front,99.09999847,186.6000061,66.5,56.09999847,2758,ohc,four,121,mpfi,9.300000191,110,21,28,15510
saab,gas,two,hatchback,fwd,front,99.09999847,186.6000061,66.5,56.09999847,2808,dohc,four,121,mpfi,9,160,19,26,18150
saab,gas,four,sedan,fwd,front,99.09999847,186.6000061,66.5,56.09999847,2847,dohc,four,121,mpfi,9,160,19,26,18620
subaru,gas,two,hatchback,fwd,front,93.69999695,156.8999939,63.40000153,53.70000076,2050,ohcf,four,97,2bbl,9,69,31,36,5118
subaru,gas,two,hatchback,fwd,front,93.69999695,157.8999939,63.59999847,53.70000076,2120,ohcf,four,108,2bbl,8.699999809,73,26,31,7053
subaru,gas,two,hatchback,4wd ,front,93.30000305,157.3000031,63.79999924,55.70000076,2240,ohcf,four,108,2bbl,8.699999809,73,26,31,7603
subaru,gas,four,sedan,fwd,front,97.19999695,172,65.40000153,52.5,2145,ohcf,four,108,2bbl,9.5,82,32,37,7126
subaru,gas,four,sedan,fwd,front,97.19999695,172,65.40000153,52.5,2190,ohcf,four,108,2bbl,9.5,82,28,33,7775
subaru,gas,four,sedan,fwd,front,97.19999695,172,65.40000153,52.5,2340,ohcf,four,108,mpfi,9,94,26,32,9960
subaru,gas,four,sedan,4wd ,front,97,172,65.40000153,54.29999924,2385,ohcf,four,108,2bbl,9,82,24,25,9233
subaru,gas,four,sedan,4wd ,front,97,172,65.40000153,54.29999924,2510,ohcf,four,108,mpfi,7.699999809,111,24,29,11259
subaru,gas,four,wagon,fwd,front,97,173.5,65.40000153,53,2290,ohcf,four,108,2bbl,9,82,28,32,7463
subaru,gas,four,wagon,fwd,front,97,173.5,65.40000153,53,2455,ohcf,four,108,mpfi,9,94,25,31,10198
subaru,gas,four,wagon,4wd,front,96.90000153,173.6000061,65.40000153,54.90000153,2420,ohcf,four,108,2bbl,9,82,23,29,8013
subaru,gas,four,wagon,4wd,front,96.90000153,173.6000061,65.40000153,54.90000153,2650,ohcf,four,108,mpfi,7.699999809,111,23,23,11694
toyota,gas,two,hatchback,fwd,front,95.69999695,158.6999969,63.59999847,54.5,1985,ohc,four,92,2bbl,9,62,35,39,5348
toyota,gas,two,hatchback,fwd,front,95.69999695,158.6999969,63.59999847,54.5,2040,ohc,four,92,2bbl,9,62,31,38,6338
toyota,gas,four,hatchback,fwd,front,95.69999695,158.6999969,63.59999847,54.5,2015,ohc,four,92,2bbl,9,62,31,38,6488
toyota,gas,four,wagon,fwd,front,95.69999695,169.6999969,63.59999847,59.09999847,2280,ohc,four,92,2bbl,9,62,31,37,6918
toyota,gas,four,wagon,4wd,front,95.69999695,169.6999969,63.59999847,59.09999847,2290,ohc,four,92,2bbl,9,62,27,32,7898
toyota,gas,four,wagon,4wd,front,95.69999695,169.6999969,63.59999847,59.09999847,3110,ohc,four,92,2bbl,9,62,27,32,8778
toyota,gas,four,sedan,fwd,front,95.69999695,166.3000031,64.40000153,53,2081,ohc,four,98,2bbl,9,70,30,37,6938
toyota,gas,four,hatchback,fwd,front,95.69999695,166.3000031,64.40000153,52.79999924,2109,ohc,four,98,2bbl,9,70,30,37,7198
toyota,diesel,four,sedan,fwd,front,95.69999695,166.3000031,64.40000153,53,2275,ohc,four,110,idi,22.5,56,34,36,7898
toyota,diesel,four,hatchback,fwd,front,95.69999695,166.3000031,64.40000153,52.79999924,2275,ohc,four,110,idi,22.5,56,38,47,7788
toyota,gas,four,sedan,fwd,front,95.69999695,166.3000031,64.40000153,53,2094,ohc,four,98,2bbl,9,70,38,47,7738
toyota,gas,four,hatchback,fwd,front,95.69999695,166.3000031,64.40000153,52.79999924,2122,ohc,four,98,2bbl,9,70,28,34,8358
toyota,gas,four,sedan,fwd,front,95.69999695,166.3000031,64.40000153,52.79999924,2140,ohc,four,98,2bbl,9,70,28,34,9258
toyota,gas,two,sedan,rwd,front,94.5,168.6999969,64,52.59999847,2169,ohc,four,98,2bbl,9,70,29,34,8058
toyota,gas,two,hatchback,rwd,front,94.5,168.6999969,64,52.59999847,2204,ohc,four,98,2bbl,9,70,29,34,8238
toyota,gas,two,sedan,rwd,front,94.5,168.6999969,64,52.59999847,2265,dohc,four,98,mpfi,9.399999619,112,26,29,9298
toyota,gas,two,hatchback,rwd,front,94.5,168.6999969,64,52.59999847,2300,dohc,four,98,mpfi,9.399999619,112,26,29,9538
toyota,gas,two,hardtop,rwd,front,98.40000153,176.1999969,65.59999847,52,2540,ohc,four,146,mpfi,9.300000191,116,24,30,8449
toyota,gas,two,hardtop,rwd,front,98.40000153,176.1999969,65.59999847,52,2536,ohc,four,146,mpfi,9.300000191,116,24,30,9639
toyota,gas,two,hatchback,rwd,front,98.40000153,176.1999969,65.59999847,52,2551,ohc,four,146,mpfi,9.300000191,116,24,30,9989
toyota,gas,two,hardtop,rwd,front,98.40000153,176.1999969,65.59999847,52,2679,ohc,four,146,mpfi,9.300000191,116,24,30,11199
toyota,gas,two,hatchback,rwd,front,98.40000153,176.1999969,65.59999847,52,2714,ohc,four,146,mpfi,9.300000191,116,24,30,11549
toyota,gas,two,convertible,rwd,front,98.40000153,176.1999969,65.59999847,53,2975,ohc,four,146,mpfi,9.300000191,116,24,30,17669
toyota,gas,four,sedan,fwd,front,102.4000015,175.6000061,66.5,54.90000153,2326,ohc,four,122,mpfi,8.699999809,92,29,34,8948
toyota,diesel,four,sedan,fwd,front,102.4000015,175.6000061,66.5,54.90000153,2480,ohc,four,110,idi,22.5,73,30,33,10698
toyota,gas,four,hatchback,fwd,front,102.4000015,175.6000061,66.5,53.90000153,2414,ohc,four,122,mpfi,8.699999809,92,27,32,9988
toyota,gas,four,sedan,fwd,front,102.4000015,175.6000061,66.5,54.90000153,2414,ohc,four,122,mpfi,8.699999809,92,27,32,10898
toyota,gas,four,hatchback,fwd,front,102.4000015,175.6000061,66.5,53.90000153,2458,ohc,four,122,mpfi,8.699999809,92,27,32,11248
toyota,gas,two,hatchback,rwd,front,102.9000015,183.5,67.69999695,52,2976,dohc,six,171,mpfi,9.300000191,161,20,24,16558
toyota,gas,two,hatchback,rwd,front,102.9000015,183.5,67.69999695,52,3016,dohc,six,171,mpfi,9.300000191,161,19,24,15998
toyota,gas,four,sedan,rwd,front,104.5,187.8000031,66.5,54.09999847,3131,dohc,six,171,mpfi,9.199999809,156,20,24,15690
toyota,gas,four,wagon,rwd,front,104.5,187.8000031,66.5,54.09999847,3151,dohc,six,161,mpfi,9.199999809,156,19,24,15750
volkswagen,diesel,two,sedan,fwd,front,97.30000305,171.6999969,65.5,55.70000076,2261,ohc,four,97,idi,23,52,37,46,7775
volkswagen,gas,two,sedan,fwd,front,97.30000305,171.6999969,65.5,55.70000076,2209,ohc,four,109,mpfi,9,85,27,34,7975
volkswagen,diesel,four,sedan,fwd,front,97.30000305,171.6999969,65.5,55.70000076,2264,ohc,four,97,idi,23,52,37,46,7995
volkswagen,gas,four,sedan,fwd,front,97.30000305,171.6999969,65.5,55.70000076,2212,ohc,four,109,mpfi,9,85,27,34,8195
volkswagen,gas,four,sedan,fwd,front,97.30000305,171.6999969,65.5,55.70000076,2275,ohc,four,109,mpfi,9,85,27,34,8495
volkswagen,diesel,four,sedan,fwd,front,97.30000305,171.6999969,65.5,55.70000076,2319,ohc,four,97,idi,23,68,37,42,9495
volkswagen,gas,four,sedan,fwd,front,97.30000305,171.6999969,65.5,55.70000076,2300,ohc,four,109,mpfi,10,100,26,32,9995
volkswagen,gas,two,convertible,fwd,front,94.5,159.3000031,64.19999695,55.59999847,2254,ohc,four,109,mpfi,8.5,90,24,29,11595
volkswagen,gas,two,hatchback,fwd,front,94.5,165.6999969,64,51.40000153,2221,ohc,four,109,mpfi,8.5,90,24,29,9980
volkswagen,gas,four,sedan,fwd,front,100.4000015,180.1999969,66.90000153,55.09999847,2661,ohc,five,136,mpfi,8.5,110,19,24,13295
volkswagen,diesel,four,sedan,fwd,front,100.4000015,180.1999969,66.90000153,55.09999847,2579,ohc,four,97,idi,23,68,33,38,13845
volkswagen,gas,four,wagon,fwd,front,100.4000015,183.1000061,66.90000153,55.09999847,2563,ohc,four,109,mpfi,9,88,25,31,12290
volvo,gas,four,sedan,rwd,front,104.3000031,188.8000031,67.19999695,56.20000076,2912,ohc,four,141,mpfi,9.5,114,23,28,12940
volvo,gas,four,wagon,rwd,front,104.3000031,188.8000031,67.19999695,57.5,3034,ohc,four,141,mpfi,9.5,114,23,28,13415
volvo,gas,four,sedan,rwd,front,104.3000031,188.8000031,67.19999695,56.20000076,2935,ohc,four,141,mpfi,9.5,114,24,28,15985
volvo,gas,four,wagon,rwd,front,104.3000031,188.8000031,67.19999695,57.5,3042,ohc,four,141,mpfi,9.5,114,24,28,16515
volvo,gas,four,sedan,rwd,front,104.3000031,188.8000031,67.19999695,56.20000076,3045,ohc,four,130,mpfi,7.5,162,17,22,18420
volvo,gas,four,wagon,rwd,front,104.3000031,188.8000031,67.19999695,57.5,3157,ohc,four,130,mpfi,7.5,162,17,22,18950
volvo,gas,four,sedan,rwd,front,109.0999985,188.8000031,68.90000153,55.5,2952,ohc,four,141,mpfi,9.5,114,23,28,16845
volvo,gas,four,sedan,rwd,front,109.0999985,188.8000031,68.80000305,55.5,3049,ohc,four,141,mpfi,8.699999809,160,19,25,19045
volvo,gas,four,sedan,rwd,front,109.0999985,188.8000031,68.90000153,55.5,3012,ohcv,six,173,mpfi,8.800000191,134,18,23,21485
volvo,diesel,four,sedan,rwd,front,109.0999985,188.8000031,68.90000153,55.5,3217,ohc,six,145,idi,23,106,26,27,22470
volvo,gas,four,sedan,rwd,front,109.0999985,188.8000031,68.90000153,55.5,3062,ohc,four,141,mpfi,9.5,114,19,25,22625
